# threads, bench_type, bench_mode, elapsed_ns, latency_ns, elapsed_clock_ns, clock_ns_per_iter
9, spinlock, cmpxchg_weak_pause, 55653709.000000, 55.6537090000, 448998000.000000, 448.998000
9, spinlock, std::mutex, 67893168.000000, 67.8931680000, 528084000.000000, 528.084000
10, refcount, fetch_sub, 35778642.000000, 35.7786420000, 260221000.000000, 260.221000
10, refcount, cmpxchg_strong, 45566759.000000, 45.5667590000, 335881000.000000, 335.881000
10, refcount, cmpxchg_weak, 51361311.000000, 51.3613110000, 344388000.000000, 344.388000
10, refcount, std::shared_ptr, 27363668.000000, 27.3636680000, 208453000.000000, 208.453000
10, spinlock, fetch_or, 106077654.000000, 106.0776540000, 940235000.000000, 940.235000
10, spinlock, cmpxchg_strong, 43691363.000000, 43.6913630000, 370362000.000000, 370.362000
10, spinlock, cmpxchg_strong_pause, 54927007.000000, 54.9270070000, 459249000.000000, 459.249000
10, spinlock, cmpxchg_weak, 58024744.000000, 58.0247440000, 497211000.000000, 497.211000
10, spinlock, cmpxchg_weak_pause, 54396184.000000, 54.3961840000, 446996000.000000, 446.996000
10, spinlock, std::mutex, 70256426.000000, 70.2564260000, 579214000.000000, 579.214000
11, refcount, fetch_sub, 36433915.000000, 36.4339150000, 283960000.000000, 283.960000
11, refcount, cmpxchg_strong, 39610834.000000, 39.6108340000, 334463000.000000, 334.463000
11, refcount, cmpxchg_weak, 37579160.000000, 37.5791600000, 326339000.000000, 326.339000
11, refcount, std::shared_ptr, 24638485.000000, 24.6384850000, 219856000.000000, 219.856000
11, spinlock, fetch_or, 184464178.000000, 184.4641780000, 1875077000.000000, 1875.077000
11, spinlock, cmpxchg_strong, 51270437.000000, 51.2704370000, 411766000.000000, 411.766000
11, spinlock, cmpxchg_strong_pause, 69495544.000000, 69.4955440000, 656794000.000000, 656.794000
11, spinlock, cmpxchg_weak, 60265068.000000, 60.2650680000, 536173000.000000, 536.173000
11, spinlock, cmpxchg_weak_pause, 49941277.000000, 49.9412770000, 425780000.000000, 425.780000
11, spinlock, std::mutex, 71400903.000000, 71.4009030000, 659610000.000000, 659.610000
